# file: s2.43200-64799.May.31.22.10.18.prettyPlan.csv May.31.22.10.18
# Spacecraft with id sat2
# Epoch [JDUT1] is 2458853.0625
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
0,obs,,P.47,,[1533251 1533252 1533253 1533254 1534180 1534181 1534182 1534183 1534184],0.5394
1,obs,,,,,
2,obs,,P.47,,[1530452 1530453 1530454 1530455 1530456 1531386 1531387 1531388 1531389 1531390 1532319 1532320 1532321 1532322],0.84687
3,obs,,P.47,,[1529515 1529516 1529517 1529518],0.47288
4,obs,,P.47,,[1527638 1527639 1527640 1527641 1528578 1528579 1528580 1528581],0.62609
5,obs,,P.47,,[1526697 1526698 1526699 1526700],0.25925
6,obs,,P.47,,[1525750 1525751 1525752 1525753 1525754],0.17841
7,obs,,P.47,,[1524812 1524813 1524814],0.24807
8,obs,,P.47,,[1524815],0.01305
9,obs,,P.47,,[1523877 1523878 1523879 1523880],0.15517
10,obs,,P.47,,[1522941 1522942 1522943 1522944],0.15361
11,obs,,P.47,,[1522006 1522007 1522008 1522009],0.15382
12,obs,,P.47,,[1521062 1521063 1521064 1521065],0.25911
13,obs,,,,,
14,obs,,P.47,,[1520115 1520116 1520117],0.14118
15,obs,,P.47,,[1519163 1519164 1519165],0.14124
16,obs,,P.47,,[1518208 1518209 1518210],0.35278
17,obs,,P.47,,[1517245 1517246 1517247],0.35219
18,obs,,P.47,,[1516281 1516283 1516284],0.25541
19,obs,,P.47,,[1516285],0.11801
20,obs,,P.47,,[1515316 1515318 1515319 1515320],0.37305
21,obs,,P.47,,[1514354 1514355 1514356],0.35294
22,obs,,P.47,,[1513380 1513381 1513382],0.35352
23,obs,,P.47,,[1512407 1512408 1512409],0.35397
24,obs,,,,,
25,obs,,P.47,,[1511429 1511430 1511431],0.35765
26,obs,,P.47,,[1510452 1510454 1510455 1510456],0.37482
27,obs,,P.47,,[1509471 1509473 1509474 1509475],0.17126
28,obs,,P.47,,[1508490 1508491 1508492 1508493],0.16666
29,obs,,P.47,,[1507507 1507508 1507509],0.14774
